0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
1,R,2
1,R,3
2,R,0
2,R,1
2,R,2
2,R,3
3,R,0
3,R,1
3,R,2
3,R,3
0,W,0
0,W,1
0,W,2
0,W,3
1,R,0
1,R,1
